"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US12013","Calhoun County, Florida","14372","*****"
"0500000US12015","Charlotte County, Florida","159385","*****"
"0500000US12017","Citrus County, Florida","140686","*****"
"0500000US12019","Clay County, Florida","186076","*****"
"0500000US12021","Collier County, Florida","316931","*****"
"0500000US12023","Columbia County, Florida","66964","*****"
"0500000US12027","DeSoto County, Florida","34557","*****"
"0500000US12029","Dixie County, Florida","16196","*****"
"0500000US12031","Duval County, Florida","854848","*****"
"0500000US12033","Escambia County, Florida","297940","*****"
"0500000US12035","Flagler County, Florida","91806","*****"
"0500000US12037","Franklin County, Florida","11470","*****"
"0500000US12039","Gadsden County, Florida","46031","*****"
"0500000US12041","Gilchrist County, Florida","16683","*****"
"0500000US12043","Glades County, Florida","12617","*****"
"0500000US12045","Gulf County, Florida","15879","*****"
"0500000US12047","Hamilton County, Florida","14696","*****"
"0500000US12049","Hardee County, Florida","27521","*****"
"0500000US12051","Hendry County, Florida","39030","*****"
"0500000US12053","Hernando County, Florida","170337","*****"
"0500000US12055","Highlands County, Florida","98807","*****"
"0500000US12057","Hillsborough County, Florida","1200236","*****"
"0500000US12059","Holmes County, Florida","19992","*****"
"0500000US12061","Indian River County, Florida","135518","*****"
"0500000US12063","Jackson County, Florida","49334","*****"
"0500000US12065","Jefferson County, Florida","14583","*****"
"0500000US12067","Lafayette County, Florida","8506","*****"
"0500000US12069","Lake County, Florida","291671","*****"
"0500000US12071","Lee County, Florida","606165","*****"
"0500000US12073","Leon County, Florida","270409","*****"
"0500000US12075","Levy County, Florida","40415","*****"
"0500000US12077","Liberty County, Florida","8230","*****"
"0500000US12079","Madison County, Florida","19300","*****"
"0500000US12081","Manatee County, Florida","318619","*****"
"0500000US12083","Marion County, Florida","326833","*****"
"0500000US12085","Martin County, Florida","144322","*****"
"0500000US12086","Miami-Dade County, Florida","2445374","*****"
"0500000US12087","Monroe County, Florida","73065","*****"
"0500000US12089","Nassau County, Florida","71099","*****"
"0500000US12091","Okaloosa County, Florida","182076","*****"
"0500000US12093","Okeechobee County, Florida","39883","*****"
"0500000US12095","Orange County, Florida","1116094","*****"
"0500000US12097","Osceola County, Florida","258531","*****"
"0500000US12099","Palm Beach County, Florida","1299356","*****"
"0500000US12101","Pasco County, Florida","456514","*****"
"0500000US12103","Pinellas County, Florida","918263","*****"
"0500000US12105","Polk County, Florida","590116","*****"
"0500000US12107","Putnam County, Florida","74715","*****"
"0500000US12109","St. Johns County, Florida","180624","*****"
"0500000US12111","St. Lucie County, Florida","269659","*****"
"0500000US12113","Santa Rosa County, Florida","147838","*****"
"0500000US12115","Sarasota County, Florida","376200","*****"
"0500000US12117","Seminole County, Florida","417330","*****"
"0500000US12119","Sumter County, Florida","85891","*****"
"0500000US12121","Suwannee County, Florida","40675","*****"
"0500000US12123","Taylor County, Florida","22000","*****"
"0500000US12125","Union County, Florida","15375","*****"
"0500000US12127","Volusia County, Florida","496053","*****"
"0500000US12129","Wakulla County, Florida","29368","*****"
"0500000US12131","Walton County, Florida","53366","*****"
"0500000US12133","Washington County, Florida","24125","*****"
"0500000US13001","Appling County, Georgia","18050","*****"
"0500000US13003","Atkinson County, Georgia","8332","*****"
"0500000US13005","Bacon County, Georgia","10969","*****"
"0500000US13007","Baker County, Georgia","3657","*****"
"0500000US13009","Baldwin County, Georgia","46905","*****"
"0500000US13011","Banks County, Georgia","17840","*****"
"0500000US13013","Barrow County, Georgia","66359","*****"
"0500000US13015","Bartow County, Georgia","97423","*****"
"0500000US13017","Ben Hill County, Georgia","17631","*****"
"0500000US13019","Berrien County, Georgia","18708","*****"
"0500000US13021","Bibb County, Georgia","154810","*****"
"0500000US13023","Bleckley County, Georgia","12937","*****"
"0500000US13025","Brantley County, Georgia","17650","*****"
"0500000US13027","Brooks County, Georgia","16338","*****"
"0500000US13029","Bryan County, Georgia","29039","*****"
"0500000US13031","Bulloch County, Georgia","67298","*****"
"0500000US13033","Burke County, Georgia","23083","*****"
"0500000US13035","Butts County, Georgia","23401","*****"
"0500000US13037","Calhoun County, Georgia","6488","*****"
"0500000US13039","Camden County, Georgia","49293","*****"
"0500000US13043","Candler County, Georgia","10715","*****"
"0500000US13045","Carroll County, Georgia","109227","*****"
"0500000US13047","Catoosa County, Georgia","62951","*****"
"0500000US13049","Charlton County, Georgia","12310","*****"
"0500000US13051","Chatham County, Georgia","256428","*****"
"0500000US13053","Chattahoochee County, Georgia","11702","*****"
"0500000US13055","Chattooga County, Georgia","25985","*****"
"0500000US13057","Cherokee County, Georgia","206283","*****"
"0500000US13059","Clarke County, Georgia","115070","*****"
"0500000US13063","Clayton County, Georgia","260156","*****"
"0500000US13065","Clinch County, Georgia","6841","*****"
"0500000US13067","Cobb County, Georgia","677402","*****"
"0500000US13069","Coffee County, Georgia","41647","*****"
"0500000US13071","Colquitt County, Georgia","44712","*****"
"0500000US13073","Columbia County, Georgia","117858","*****"
"0500000US13075","Cook County, Georgia","16976","*****"
"0500000US13077","Coweta County, Georgia","121528","*****"
"0500000US13079","Crawford County, Georgia","12821","*****"
"0500000US13081","Crisp County, Georgia","23182","*****"
"0500000US13083","Dade County, Georgia","16595","*****"
"0500000US13085","Dawson County, Georgia","21758","*****"
"0500000US13087","Decatur County, Georgia","27920","*****"
"0500000US13089","DeKalb County, Georgia","685371","*****"
"0500000US13091","Dodge County, Georgia","21402","*****"
"0500000US13093","Dooly County, Georgia","14283","*****"
"0500000US13095","Dougherty County, Georgia","94514","*****"
"0500000US13097","Douglas County, Georgia","127800","*****"
"0500000US13099","Early County, Georgia","11286","*****"
"0500000US13101","Echols County, Georgia","3973","*****"
"0500000US13103","Effingham County, Georgia","50513","*****"
"0500000US13105","Elbert County, Georgia","20421","*****"
"0500000US13107","Emanuel County, Georgia","22348","*****"
"0500000US13109","Evans County, Georgia","10966","*****"
"0500000US13111","Fannin County, Georgia","23337","*****"
"0500000US13113","Fayette County, Georgia","105344","*****"
"0500000US13115","Floyd County, Georgia","95810","*****"
"0500000US13117","Forsyth County, Georgia","163885","*****"
"0500000US13119","Franklin County, Georgia","22121","*****"
"0500000US13121","Fulton County, Georgia","886982","*****"
"0500000US13123","Gilmer County, Georgia","28076","*****"
"0500000US13125","Glascock County, Georgia","3007","*****"
"0500000US13127","Glynn County, Georgia","77632","*****"
"0500000US13129","Gordon County, Georgia","54059","*****"
"0500000US13131","Grady County, Georgia","24738","*****"
"0500000US13133","Greene County, Georgia","15844","*****"
"0500000US13135","Gwinnett County, Georgia","778022","*****"
"0500000US13137","Habersham County, Georgia","42212","*****"
"0500000US13139","Hall County, Georgia","175001","*****"
"0500000US13141","Hancock County, Georgia","9649","*****"
"0500000US13143","Haralson County, Georgia","28574","*****"
"0500000US13145","Harris County, Georgia","30807","*****"
"0500000US13147","Hart County, Georgia","25024","*****"
"0500000US13149","Heard County, Georgia","11720","*****"
"0500000US13151","Henry County, Georgia","193717","*****"
"0500000US13153","Houston County, Georgia","134880","*****"
"0500000US13155","Irwin County, Georgia","9642","*****"
"0500000US13157","Jackson County, Georgia","58347","*****"
"0500000US13159","Jasper County, Georgia","13695","*****"
"0500000US13161","Jeff Davis County, Georgia","14558","*****"
"0500000US13163","Jefferson County, Georgia","16919","*****"
"0500000US13165","Jenkins County, Georgia","8400","*****"
"0500000US13167","Johnson County, Georgia","9967","*****"
"0500000US13169","Jones County, Georgia","28292","*****"
"0500000US13171","Lamar County, Georgia","17837","*****"
"0500000US13173","Lanier County, Georgia","9404","*****"
"0500000US13175","Laurens County, Georgia","48034","*****"
"0500000US13177","Lee County, Georgia","27998","*****"
"0500000US13179","Liberty County, Georgia","63854","*****"
"0500000US13181","Lincoln County, Georgia","8111","*****"
"0500000US13183","Long County, Georgia","13142","*****"
"0500000US13185","Lowndes County, Georgia","104916","*****"
"0500000US13187","Lumpkin County, Georgia","28875","*****"
"0500000US13189","McDuffie County, Georgia","21719","*****"
"0500000US13191","McIntosh County, Georgia","13817","*****"
"0500000US13193","Macon County, Georgia","14553","*****"
"0500000US13195","Madison County, Georgia","27798","*****"
"0500000US13197","Marion County, Georgia","8403","*****"
"0500000US13199","Meriwether County, Georgia","22425","*****"
"0500000US13201","Miller County, Georgia","6128","*****"
"0500000US13205","Mitchell County, Georgia","23697","*****"
"0500000US13207","Monroe County, Georgia","25864","*****"
"0500000US13209","Montgomery County, Georgia","9138","*****"
"0500000US13211","Morgan County, Georgia","17741","*****"
"0500000US13213","Murray County, Georgia","39925","*****"
"0500000US13215","Muscogee County, Georgia","187629","*****"
"0500000US13217","Newton County, Georgia","96833","*****"
"0500000US13219","Oconee County, Georgia","31508","*****"
"0500000US13221","Oglethorpe County, Georgia","14556","*****"
"0500000US13223","Paulding County, Georgia","134875","*****"
"0500000US13225","Peach County, Georgia","26883","*****"
"0500000US13227","Pickens County, Georgia","29155","*****"
"0500000US13229","Pierce County, Georgia","18205","*****"
"0500000US13231","Pike County, Georgia","17411","*****"
"0500000US13233","Polk County, Georgia","41095","*****"
"0500000US13235","Pulaski County, Georgia","11632","*****"
"0500000US13237","Putnam County, Georgia","20925","*****"
"0500000US13239","Quitman County, Georgia","2528","*****"
"0500000US13241","Rabun County, Georgia","16266","*****"
"0500000US13243","Randolph County, Georgia","7724","*****"
"0500000US13245","Richmond County, Georgia","198170","*****"
"0500000US13247","Rockdale County, Georgia","83135","*****"
"0500000US13249","Schley County, Georgia","4755","*****"
"0500000US13251","Screven County, Georgia","14799","*****"
"0500000US13253","Seminole County, Georgia","8797","*****"
"0500000US13255","Spalding County, Georgia","63304","*****"
"0500000US13257","Stephens County, Georgia","25876","*****"
"0500000US13259","Stewart County, Georgia","5831","*****"
"0500000US13261","Sumter County, Georgia","32865","*****"
"0500000US13263","Talbot County, Georgia","6920","*****"
"0500000US13267","Tattnall County, Georgia","24263","*****"
"0500000US13269","Taylor County, Georgia","8875","*****"
"0500000US13271","Telfair County, Georgia","16052","*****"
"0500000US13273","Terrell County, Georgia","9647","*****"
"0500000US13275","Thomas County, Georgia","44451","*****"
"0500000US13277","Tift County, Georgia","39823","*****"
"0500000US13279","Toombs County, Georgia","27151","*****"
"0500000US13281","Towns County, Georgia","10430","*****"
"0500000US13283","Treutlen County, Georgia","6835","*****"
"0500000US13285","Troup County, Georgia","65652","*****"
"0500000US13287","Turner County, Georgia","9025","*****"
"0500000US13289","Twiggs County, Georgia","9385","*****"
"0500000US13291","Union County, Georgia","21083","*****"
"0500000US13293","Upson County, Georgia","27308","*****"
"0500000US13295","Walker County, Georgia","67845","*****"
"0500000US13297","Walton County, Georgia","81491","*****"
"0500000US13299","Ware County, Georgia","36006","*****"
"0500000US13301","Warren County, Georgia","5936","*****"
"0500000US13303","Washington County, Georgia","21112","*****"
"0500000US13305","Wayne County, Georgia","29705","*****"
"0500000US13307","Webster County, Georgia","2727","*****"
"0500000US13309","Wheeler County, Georgia","7093","*****"
"0500000US13311","White County, Georgia","26498","*****"
"0500000US13313","Whitfield County, Georgia","99910","*****"
"0500000US13315","Wilcox County, Georgia","9041","*****"
"0500000US13317","Wilkes County, Georgia","10580","*****"
"0500000US13319","Wilkinson County, Georgia","9685","*****"
"0500000US13321","Worth County, Georgia","21712","*****"
"0500000US15001","Hawaii County, Hawaii","180362","*****"
"0500000US15003","Honolulu County, Hawaii","936984","*****"
"0500000US15007","Kauai County, Hawaii","65460","*****"
"0500000US16001","Ada County, Idaho","380718","*****"
"0500000US16003","Adams County, Idaho","3942","*****"
"0500000US16005","Bannock County, Idaho","80701","*****"
"0500000US16007","Bear Lake County, Idaho","6026","*****"
"0500000US16009","Benewah County, Idaho","9302","*****"
"0500000US16011","Bingham County, Idaho","44496","*****"
"0500000US16013","Blaine County, Idaho","21329","*****"
"0500000US16015","Boise County, Idaho","7122","*****"
"0500000US16017","Bonner County, Idaho","40711","*****"
"0500000US16019","Bonneville County, Idaho","100213","*****"
"0500000US16021","Boundary County, Idaho","10792","*****"
"0500000US16023","Butte County, Idaho","2842","*****"
"0500000US16027","Canyon County, Idaho","182723","*****"
"0500000US16029","Caribou County, Idaho","6900","*****"
"0500000US16031","Cassia County, Idaho","22109","*****"
"0500000US16035","Clearwater County, Idaho","8766","*****"
"0500000US16037","Custer County, Idaho","4277","*****"
"0500000US16039","Elmore County, Idaho","26669","*****"
"0500000US16041","Franklin County, Idaho","12497","*****"
"0500000US16043","Fremont County, Idaho","13062","*****"
"0500000US16045","Gem County, Idaho","16778","*****"
"0500000US16047","Gooding County, Idaho","15140","*****"
"0500000US16049","Idaho County, Idaho","15947","*****"
"0500000US16051","Jefferson County, Idaho","24523","*****"
"0500000US16053","Jerome County, Idaho","21282","*****"
"0500000US16055","Kootenai County, Idaho","134851","*****"
"0500000US16057","Latah County, Idaho","36645","*****"
"0500000US16059","Lemhi County, Idaho","7861","*****"
"0500000US16061","Lewis County, Idaho","3761","*****"
"0500000US16063","Lincoln County, Idaho","5021","*****"
"0500000US16065","Madison County, Idaho","36413","*****"
"0500000US16067","Minidoka County, Idaho","19524","*****"
"0500000US16069","Nez Perce County, Idaho","38886","*****"
"0500000US16071","Oneida County, Idaho","4212","*****"
"0500000US16073","Owyhee County, Idaho","11389","*****"
"0500000US16075","Payette County, Idaho","22451","*****"
"0500000US16077","Power County, Idaho","7633","*****"
"0500000US16079","Shoshone County, Idaho","12917","*****"
"0500000US16081","Teton County, Idaho","9413","*****"
"0500000US16083","Twin Falls County, Idaho","74929","*****"
"0500000US16085","Valley County, Idaho","9846","*****"
"0500000US16087","Washington County, Idaho","10105","*****"
"0500000US17001","Adams County, Illinois","67030","*****"
"0500000US17003","Alexander County, Illinois","8449","*****"
"0500000US17005","Bond County, Illinois","17904","*****"
"0500000US17007","Boone County, Illinois","53567","*****"
"0500000US17009","Brown County, Illinois","6897","*****"
"0500000US17011","Bureau County, Illinois","35083","*****"
"0500000US17013","Calhoun County, Illinois","5118","*****"
"0500000US17015","Carroll County, Illinois","15615","*****"
"0500000US17017","Cass County, Illinois","13648","*****"
"0500000US17019","Champaign County, Illinois","197867","*****"
"0500000US17021","Christian County, Illinois","34936","*****"
"0500000US17023","Clark County, Illinois","16545","*****"
"0500000US17025","Clay County, Illinois","13927","*****"
"0500000US17027","Clinton County, Illinois","37395","*****"
"0500000US17029","Coles County, Illinois","53568","*****"
"0500000US17031","Cook County, Illinois","5172848","*****"
"0500000US17033","Crawford County, Illinois","19864","*****"
"0500000US17035","Cumberland County, Illinois","11073","*****"
"0500000US17037","DeKalb County, Illinois","104026","*****"
"0500000US17039","De Witt County, Illinois","16672","*****"
"0500000US17041","Douglas County, Illinois","20012","*****"
"0500000US17043","DuPage County, Illinois","911481","*****"
"0500000US17045","Edgar County, Illinois","18776","*****"
"0500000US17047","Edwards County, Illinois","6707","*****"
"0500000US17049","Effingham County, Illinois","34232","*****"
"0500000US17051","Fayette County, Illinois","22007","*****"
"0500000US17053","Ford County, Illinois","14113","*****"
"0500000US17055","Franklin County, Illinois","39528","*****"
"0500000US17057","Fulton County, Illinois","37205","*****"
"0500000US17059","Gallatin County, Illinois","5773","*****"
"0500000US17061","Greene County, Illinois","13983","*****"
"0500000US17063","Grundy County, Illinois","48744","*****"
"0500000US17065","Hamilton County, Illinois","8453","*****"
"0500000US17067","Hancock County, Illinois","19227","*****"
"0500000US17069","Hardin County, Illinois","4402","*****"
"0500000US17071","Henderson County, Illinois","7462","*****"
"0500000US17073","Henry County, Illinois","50477","*****"
"0500000US17075","Iroquois County, Illinois","30068","*****"
"0500000US17077","Jackson County, Illinois","59864","*****"
"0500000US17079","Jasper County, Illinois","9752","*****"
"0500000US17081","Jefferson County, Illinois","39202","*****"
"0500000US17083","Jersey County, Illinois","22932","*****"
"0500000US17085","Jo Daviess County, Illinois","22728","*****"
"0500000US17087","Johnson County, Illinois","12710","*****"
"0500000US17089","Kane County, Illinois","502628","*****"
"0500000US17091","Kankakee County, Illinois","112100","*****"
"0500000US17093","Kendall County, Illinois","105602","*****"
"0500000US17095","Knox County, Illinois","52932","*****"
"0500000US17097","Lake County, Illinois","697179","*****"
"0500000US17099","LaSalle County, Illinois","113789","*****"
"0500000US17101","Lawrence County, Illinois","16849","*****"
"0500000US17103","Lee County, Illinois","36100","*****"
"0500000US17105","Livingston County, Illinois","39010","*****"
"0500000US17107","Logan County, Illinois","30440","*****"
"0500000US17109","McDonough County, Illinois","32730","*****"
"0500000US17111","McHenry County, Illinois","306050","*****"
"0500000US17113","McLean County, Illinois","166706","*****"
"0500000US17115","Macon County, Illinois","110719","*****"
"0500000US17117","Macoupin County, Illinois","47980","*****"
"0500000US17119","Madison County, Illinois","268005","*****"
"0500000US17121","Marion County, Illinois","39722","*****"
"0500000US17123","Marshall County, Illinois","12763","*****"
"0500000US17125","Mason County, Illinois","14921","*****"
"0500000US17127","Massac County, Illinois","15425","*****"
"0500000US17129","Menard County, Illinois","12702","*****"
"0500000US17131","Mercer County, Illinois","16551","*****"
"0500000US17133","Monroe County, Illinois","32431","*****"
"0500000US17135","Montgomery County, Illinois","30230","*****"
"0500000US17137","Morgan County, Illinois","35755","*****"
"0500000US17139","Moultrie County, Illinois","14723","*****"
"0500000US17141","Ogle County, Illinois","53578","*****"
"0500000US17143","Peoria County, Illinois","185108","*****"
"0500000US17145","Perry County, Illinois","22488","*****"
"0500000US17147","Piatt County, Illinois","16708","*****"
"0500000US17149","Pike County, Illinois","16580","*****"
"0500000US17151","Pope County, Illinois","4426","*****"
"0500000US17153","Pulaski County, Illinois","6262","*****"
"0500000US17155","Putnam County, Illinois","5982","*****"
"0500000US17157","Randolph County, Illinois","33567","*****"
"0500000US17159","Richland County, Illinois","16166","*****"
"0500000US17161","Rock Island County, Illinois","147524","*****"
"0500000US17163","St. Clair County, Illinois","266727","*****"
"0500000US17165","Saline County, Illinois","25171","*****"
"0500000US17167","Sangamon County, Illinois","195288","*****"
"0500000US17169","Schuyler County, Illinois","7527","*****"
"0500000US17171","Scott County, Illinois","5374","*****"
"0500000US17173","Shelby County, Illinois","22362","*****"
"0500000US17175","Stark County, Illinois","6086","*****"
"0500000US17177","Stephenson County, Illinois","47791","*****"
"0500000US17179","Tazewell County, Illinois","133863","*****"
"0500000US17181","Union County, Illinois","17959","*****"
"0500000US17183","Vermilion County, Illinois","82033","*****"
"0500000US17185","Wabash County, Illinois","12141","*****"
"0500000US17187","Warren County, Illinois","17745","*****"
"0500000US17189","Washington County, Illinois","14841","*****"
"0500000US17191","Wayne County, Illinois","16846","*****"
"0500000US17193","White County, Illinois","14800","*****"
"0500000US17195","Whiteside County, Illinois","58750","*****"
"0500000US17197","Will County, Illinois","667977","*****"
"0500000US17199","Williamson County, Illinois","65579","*****"
"0500000US17201","Winnebago County, Illinois","293972","*****"
"0500000US17203","Woodford County, Illinois","38226","*****"
"0500000US18001","Adams County, Indiana","34162","*****"
"0500000US18003","Allen County, Indiana","351332","*****"
"0500000US18005","Bartholomew County, Indiana","75855","*****"
"0500000US18007","Benton County, Indiana","8820","*****"
"0500000US18009","Blackford County, Indiana","12960","*****"
"0500000US18011","Boone County, Indiana","54796","*****"
"0500000US18013","Brown County, Indiana","15271","*****"
"0500000US18015","Carroll County, Indiana","20135","*****"
"0500000US18017","Cass County, Indiana","39058","*****"
"0500000US18019","Clark County, Indiana","107381","*****"
"0500000US18021","Clay County, Indiana","26983","*****"
"0500000US18023","Clinton County, Indiana","33270","*****"
"0500000US18025","Crawford County, Indiana","10825","*****"
"0500000US18027","Daviess County, Indiana","31045","*****"
"0500000US18029","Dearborn County, Indiana","49580","*****"
"0500000US18031","Decatur County, Indiana","25584","*****"
"0500000US18033","DeKalb County, Indiana","41968","*****"
"0500000US18035","Delaware County, Indiana","117344","*****"
"0500000US18037","Dubois County, Indiana","41809","*****"
"0500000US18039","Elkhart County, Indiana","196855","*****"
"0500000US18041","Fayette County, Indiana","24367","*****"
"0500000US18043","Floyd County, Indiana","73594","*****"
