"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US37039","Cherokee County, North Carolina","27380","*****"
"0500000US37041","Chowan County, North Carolina","14863","*****"
"0500000US37043","Clay County, North Carolina","10506","*****"
"0500000US37045","Cleveland County, North Carolina","97880","*****"
"0500000US37047","Columbus County, North Carolina","57264","*****"
"0500000US37049","Craven County, North Carolina","101576","*****"
"0500000US37051","Cumberland County, North Carolina","316478","*****"
"0500000US37053","Currituck County, North Carolina","23507","*****"
"0500000US37055","Dare County, North Carolina","33819","*****"
"0500000US37057","Davidson County, North Carolina","161724","*****"
"0500000US37059","Davie County, North Carolina","40985","*****"
"0500000US37061","Duplin County, North Carolina","57627","*****"
"0500000US37063","Durham County, North Carolina","263862","*****"
"0500000US37065","Edgecombe County, North Carolina","56232","*****"
"0500000US37067","Forsyth County, North Carolina","347567","*****"
"0500000US37069","Franklin County, North Carolina","59607","*****"
"0500000US37071","Gaston County, North Carolina","204788","*****"
"0500000US37073","Gates County, North Carolina","12103","*****"
"0500000US37075","Graham County, North Carolina","8752","*****"
"0500000US37077","Granville County, North Carolina","59032","*****"
"0500000US37079","Greene County, North Carolina","21323","*****"
"0500000US37081","Guilford County, North Carolina","483081","*****"
"0500000US37083","Halifax County, North Carolina","54988","*****"
"0500000US37085","Harnett County, North Carolina","112287","*****"
"0500000US37087","Haywood County, North Carolina","58836","*****"
"0500000US37089","Henderson County, North Carolina","105453","*****"
"0500000US37091","Hertford County, North Carolina","24469","*****"
"0500000US37093","Hoke County, North Carolina","45718","*****"
"0500000US37095","Hyde County, North Carolina","5763","*****"
"0500000US37097","Iredell County, North Carolina","157501","*****"
"0500000US37099","Jackson County, North Carolina","39574","*****"
"0500000US37101","Johnston County, North Carolina","165238","*****"
"0500000US37103","Jones County, North Carolina","10066","*****"
"0500000US37105","Lee County, North Carolina","56787","*****"
"0500000US37107","Lenoir County, North Carolina","59326","*****"
"0500000US37109","Lincoln County, North Carolina","77035","*****"
"0500000US37111","McDowell County, North Carolina","44825","*****"
"0500000US37113","Macon County, North Carolina","33719","*****"
"0500000US37115","Madison County, North Carolina","20661","*****"
"0500000US37117","Martin County, North Carolina","24375","*****"
"0500000US37119","Mecklenburg County, North Carolina","905277","*****"
"0500000US37121","Mitchell County, North Carolina","15631","*****"
"0500000US37123","Montgomery County, North Carolina","27673","*****"
"0500000US37125","Moore County, North Carolina","87216","*****"
"0500000US37127","Nash County, North Carolina","95182","*****"
"0500000US37129","New Hanover County, North Carolina","200336","*****"
"0500000US37131","Northampton County, North Carolina","22120","*****"
"0500000US37133","Onslow County, North Carolina","172917","*****"
"0500000US37135","Orange County, North Carolina","131856","*****"
"0500000US37137","Pamlico County, North Carolina","13114","*****"
"0500000US37139","Pasquotank County, North Carolina","40511","*****"
"0500000US37141","Pender County, North Carolina","51441","*****"
"0500000US37143","Perquimans County, North Carolina","13289","*****"
"0500000US37145","Person County, North Carolina","39218","*****"
"0500000US37147","Pitt County, North Carolina","165012","*****"
"0500000US37149","Polk County, North Carolina","20354","*****"
"0500000US37151","Randolph County, North Carolina","140916","*****"
"0500000US37153","Richmond County, North Carolina","46546","*****"
"0500000US37155","Robeson County, North Carolina","133033","*****"
"0500000US37157","Rockingham County, North Carolina","93393","*****"
"0500000US37159","Rowan County, North Carolina","137654","*****"
"0500000US37161","Rutherford County, North Carolina","67262","*****"
"0500000US37163","Sampson County, North Carolina","63161","*****"
"0500000US37165","Scotland County, North Carolina","36227","*****"
"0500000US37167","Stanly County, North Carolina","60394","*****"
"0500000US37169","Stokes County, North Carolina","47294","*****"
"0500000US37171","Surry County, North Carolina","73473","*****"
"0500000US37173","Swain County, North Carolina","13932","*****"
"0500000US37175","Transylvania County, North Carolina","32670","*****"
"0500000US37177","Tyrrell County, North Carolina","4379","*****"
"0500000US37179","Union County, North Carolina","196931","*****"
"0500000US37181","Vance County, North Carolina","45112","*****"
"0500000US37183","Wake County, North Carolina","879658","*****"
"0500000US37185","Warren County, North Carolina","20882","*****"
"0500000US37187","Washington County, North Carolina","13179","*****"
"0500000US37189","Watauga County, North Carolina","50421","*****"
"0500000US37191","Wayne County, North Carolina","121324","*****"
"0500000US37193","Wilkes County, North Carolina","69162","*****"
"0500000US37195","Wilson County, North Carolina","80351","*****"
"0500000US37197","Yadkin County, North Carolina","38232","*****"
"0500000US37199","Yancey County, North Carolina","17885","*****"
"0500000US38001","Adams County, North Dakota","2337","*****"
"0500000US38003","Barnes County, North Dakota","11048","*****"
"0500000US38005","Benson County, North Dakota","6665","*****"
"0500000US38009","Bottineau County, North Dakota","6412","*****"
"0500000US38013","Burke County, North Dakota","1959","*****"
"0500000US38015","Burleigh County, North Dakota","80225","*****"
"0500000US38017","Cass County, North Dakota","147222","*****"
"0500000US38019","Cavalier County, North Dakota","3994","*****"
"0500000US38021","Dickey County, North Dakota","5319","*****"
"0500000US38023","Divide County, North Dakota","2058","*****"
"0500000US38025","Dunn County, North Dakota","3535","*****"
"0500000US38027","Eddy County, North Dakota","2426","*****"
"0500000US38029","Emmons County, North Dakota","3578","*****"
"0500000US38031","Foster County, North Dakota","3389","*****"
"0500000US38035","Grand Forks County, North Dakota","66662","*****"
"0500000US38039","Griggs County, North Dakota","2408","*****"
"0500000US38041","Hettinger County, North Dakota","2495","*****"
"0500000US38045","LaMoure County, North Dakota","4184","*****"
"0500000US38047","Logan County, North Dakota","1996","*****"
"0500000US38049","McHenry County, North Dakota","5400","*****"
"0500000US38051","McIntosh County, North Dakota","2857","*****"
