"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US01001","Autauga County, Alabama","54907","*****"
"0500000US01003","Baldwin County, Alabama","187114","*****"
"0500000US01005","Barbour County, Alabama","27321","*****"
"0500000US01007","Bibb County, Alabama","22754","*****"
"0500000US01009","Blount County, Alabama","57623","*****"
"0500000US01011","Bullock County, Alabama","10746","*****"
"0500000US01013","Butler County, Alabama","20624","*****"
"0500000US01015","Calhoun County, Alabama","117714","*****"
"0500000US01017","Chambers County, Alabama","34145","*****"
"0500000US01019","Cherokee County, Alabama","26034","*****"
"0500000US01021","Chilton County, Alabama","43744","*****"
"0500000US01023","Choctaw County, Alabama","13687","*****"
"0500000US01025","Clarke County, Alabama","25573","*****"
"0500000US01027","Clay County, Alabama","13703","*****"
"0500000US01029","Cleburne County, Alabama","14945","*****"
"0500000US01031","Coffee County, Alabama","50468","*****"
"0500000US01033","Colbert County, Alabama","54456","*****"
"0500000US01035","Conecuh County, Alabama","13104","*****"
"0500000US01037","Coosa County, Alabama","11198","*****"
"0500000US01039","Covington County, Alabama","37847","*****"
"0500000US01041","Crenshaw County, Alabama","13955","*****"
"0500000US01043","Cullman County, Alabama","80499","*****"
"0500000US01045","Dale County, Alabama","50102","*****"
"0500000US01047","Dallas County, Alabama","43091","*****"
"0500000US01049","DeKalb County, Alabama","71076","*****"
"0500000US01051","Elmore County, Alabama","79895","*****"
"0500000US01053","Escambia County, Alabama","38169","*****"
"0500000US01055","Etowah County, Alabama","104260","*****"
"0500000US01057","Fayette County, Alabama","17110","*****"
"0500000US01059","Franklin County, Alabama","31666","*****"
"0500000US01061","Geneva County, Alabama","26791","*****"
"0500000US01063","Greene County, Alabama","8934","*****"
"0500000US01065","Hale County, Alabama","15594","*****"
"0500000US01067","Henry County, Alabama","17308","*****"
"0500000US01069","Houston County, Alabama","102326","*****"
"0500000US01071","Jackson County, Alabama","53171","*****"
"0500000US01073","Jefferson County, Alabama","658552","*****"
"0500000US01075","Lamar County, Alabama","14396","*****"
"0500000US01077","Lauderdale County, Alabama","92666","*****"
"0500000US01079","Lawrence County, Alabama","34009","*****"
"0500000US01081","Lee County, Alabama","144405","*****"
"0500000US01083","Limestone County, Alabama","85264","*****"
"0500000US01085","Lowndes County, Alabama","11086","*****"
"0500000US01087","Macon County, Alabama","20803","*****"
"0500000US01089","Madison County, Alabama","339279","*****"
"0500000US01091","Marengo County, Alabama","20669","*****"
"0500000US01093","Marion County, Alabama","30615","*****"
"0500000US01095","Marshall County, Alabama","93699","*****"
"0500000US01097","Mobile County, Alabama","413188","*****"
"0500000US01099","Monroe County, Alabama","22778","*****"
"0500000US01101","Montgomery County, Alabama","228980","*****"
"0500000US01103","Morgan County, Alabama","119673","*****"
