"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US37053","Currituck County, North Carolina","24212","*****"
"0500000US37055","Dare County, North Carolina","34530","*****"
"0500000US37057","Davidson County, North Carolina","163545","*****"
"0500000US37059","Davie County, North Carolina","41411","*****"
"0500000US37061","Duplin County, North Carolina","59455","*****"
"0500000US37063","Durham County, North Carolina","282422","*****"
"0500000US37065","Edgecombe County, North Carolina","55779","*****"
"0500000US37067","Forsyth County, North Carolina","358130","*****"
"0500000US37069","Franklin County, North Carolina","61723","*****"
"0500000US37071","Gaston County, North Carolina","208379","*****"
"0500000US37073","Gates County, North Carolina","11877","*****"
"0500000US37075","Graham County, North Carolina","8743","*****"
"0500000US37077","Granville County, North Carolina","57955","*****"
"0500000US37079","Greene County, North Carolina","21353","*****"
"0500000US37081","Guilford County, North Carolina","500899","*****"
"0500000US37083","Halifax County, North Carolina","53803","*****"
"0500000US37085","Harnett County, North Carolina","121789","*****"
"0500000US37087","Haywood County, North Carolina","59012","*****"
"0500000US37089","Henderson County, North Carolina","108642","*****"
"0500000US37091","Hertford County, North Carolina","24460","*****"
"0500000US37093","Hoke County, North Carolina","50034","*****"
"0500000US37095","Hyde County, North Carolina","5757","*****"
"0500000US37097","Iredell County, North Carolina","162999","*****"
"0500000US37099","Jackson County, North Carolina","40598","*****"
"0500000US37101","Johnston County, North Carolina","175343","*****"
"0500000US37103","Jones County, North Carolina","10184","*****"
"0500000US37105","Lee County, North Carolina","59096","*****"
"0500000US37107","Lenoir County, North Carolina","59095","*****"
"0500000US37109","Lincoln County, North Carolina","79041","*****"
"0500000US37111","McDowell County, North Carolina","44982","*****"
"0500000US37113","Macon County, North Carolina","33840","*****"
"0500000US37115","Madison County, North Carolina","20951","*****"
"0500000US37117","Martin County, North Carolina","23947","*****"
"0500000US37119","Mecklenburg County, North Carolina","968500","*****"
"0500000US37121","Mitchell County, North Carolina","15380","*****"
"0500000US37123","Montgomery County, North Carolina","27626","*****"
"0500000US37125","Moore County, North Carolina","90579","*****"
"0500000US37127","Nash County, North Carolina","95174","*****"
"0500000US37129","New Hanover County, North Carolina","209586","*****"
"0500000US37131","Northampton County, North Carolina","21310","*****"
"0500000US37133","Onslow County, North Carolina","182921","*****"
"0500000US37135","Orange County, North Carolina","137275","*****"
"0500000US37137","Pamlico County, North Carolina","13062","*****"
"0500000US37139","Pasquotank County, North Carolina","40233","*****"
"0500000US37141","Pender County, North Carolina","54218","*****"
"0500000US37143","Perquimans County, North Carolina","13507","*****"
"0500000US37145","Person County, North Carolina","39303","*****"
"0500000US37147","Pitt County, North Carolina","172438","*****"
"0500000US37149","Polk County, North Carolina","20352","*****"
"0500000US37151","Randolph County, North Carolina","142276","*****"
"0500000US37153","Richmond County, North Carolina","46317","*****"
"0500000US37155","Robeson County, North Carolina","134913","*****"
"0500000US37157","Rockingham County, North Carolina","92602","*****"
"0500000US37159","Rowan County, North Carolina","138246","*****"
"0500000US37161","Rutherford County, North Carolina","67181","*****"
"0500000US37163","Sampson County, North Carolina","63842","*****"
"0500000US37165","Scotland County, North Carolina","36034","*****"
"0500000US37167","Stanly County, North Carolina","60553","*****"
"0500000US37169","Stokes County, North Carolina","46858","*****"
"0500000US37171","Surry County, North Carolina","73391","*****"
"0500000US37173","Swain County, North Carolina","14070","*****"
"0500000US37175","Transylvania County, North Carolina","32943","*****"
"0500000US37177","Tyrrell County, North Carolina","4219","*****"
